Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
Sequential Technology International,4.1,BPO,(254),"Work Life Balance, Work Satisfaction, Company Culture",,Gurugram +4 other locations
Virgo Laminates,4.0,Building Material,(254),"Work Life Balance, Salary",,New Delhi +55 other locations
Health Prime Services (India),3.5,Medical Equipment,(254),,"Promotions, Company Culture, Salary",Mumbai +11 other locations
Bombay Stock Exchange,3.4,Financial Services,(254),Job Security,"Promotions, Work Satisfaction, Skill Development",Mumbai +14 other locations
Inland World Logistics,3.5,Logistics,(254),,"Promotions, Company Culture, Job Security",Mumbai +48 other locations
Sila Solutions,3.8,Facility Management Services,(254),,"Promotions, Company Culture, Work Satisfaction",Mumbai +22 other locations
Electropneumatics & Hydraulics (I),4.1,Industrial Machinery,(254),"Job Security, Work Life Balance, Salary",,Pune +5 other locations
Adani Airport Holdings,3.0,Aviation,(254),,"Promotions, Work Satisfaction, Company Culture",Ahmedabad +16 other locations
Godawari Power & Ispat,4.3,Iron & Steel,(254),"Work Life Balance, Job Security, Company Culture",,Raipur +12 other locations
TP Western Odisha Distribution,3.4,Power,(254),Job Security,"Promotions, Salary, Work Satisfaction",Sambalpur +24 other locations
Meneta Automotive Components,3.9,Auto Components,(254),Job Security,Promotions,Sonipat +7 other locations
Welspun Global Brands,3.8,Fashion & Textile,(254),Work Life Balance,Promotions,Mumbai +37 other locations
Inland World Logistics,3.5,Logistics,(254),,"Promotions, Company Culture, Job Security",Mumbai +48 other locations
Sila Solutions,3.8,Facility Management Services,(254),,"Promotions, Company Culture, Work Satisfaction",Mumbai +22 other locations
Interocean Group,4.3,Ports & Shipping,(254),"Job Security, Work Life Balance, Work Satisfaction",,New Delhi +20 other locations
Navata Road Transport,3.6,Logistics,(253),,"Promotions, Salary, Work Satisfaction",Vijayawada +34 other locations
Exusia,3.2,IT Services & Consulting,(253),,"Company Culture, Work Satisfaction, Promotions",Pune +12 other locations
ASUS,4.3,Consumer Electronics & Appliances,(253),"Company Culture, Work Life Balance, Work Satisfaction",,Mumbai +54 other locations
Zamil Steel Buildings India,4.0,Engineering & Construction,(253),"Job Security, Work Life Balance",Promotions,Pune +22 other locations
Archirodon,4.3,Engineering & Construction,(253),"Company Culture, Work Life Balance, Work Satisfaction",,Mumbai +23 other locations
Goodluck,3.8,Iron & Steel,(253),,Promotions,Ghaziabad +24 other locations
PMEA Solar Tech Solutions,4.0,Automobile,(253),"Job Security, Salary, Company Culture",,Nashik +14 other locations
Muthoot Money,3.9,NBFC,(253),"Company Culture, Work Life Balance, Job Security",,Hyderabad +88 other locations
WorkIndia,3.1,IT Services & Consulting,(253),,"Job Security, Company Culture, Promotions",Bengaluru +19 other locations
HyperCITY,4.7,Retail,(252),"Skill Development, Work Life Balance, Company Culture",,Mumbai +21 other locations
GTL Limited,4.3,Hardware & Networking,(252),"Work Life Balance, Company Culture, Salary",,Pune +38 other locations
NextGen Healthcare,3.7,Software Product,(252),Work Life Balance,"Promotions, Job Security, Skill Development",Bengaluru +11 other locations
GE Aviation,4.0,Aviation,(252),"Company Culture, Work Life Balance, Job Security","Promotions, Salary",Pune +7 other locations
SpanIdea,3.4,IT Services & Consulting,(252),,"Job Security, Promotions, Company Culture",Bengaluru +10 other locations
Net Solutions,3.8,IT Services & Consulting,(252),Company Culture,"Promotions, Salary",Chandigarh +4 other locations
HyperCITY,4.7,Retail,(252),"Skill Development, Work Life Balance, Company Culture",,Mumbai +21 other locations
GTL Limited,4.3,Hardware & Networking,(252),"Work Life Balance, Company Culture, Salary",,Pune +38 other locations
ITW India,3.8,Automobile,(252),,Promotions,Pune +18 other locations
Turner Construction,4.0,Engineering & Construction,(252),"Company Culture, Work Life Balance, Job Security",Promotions,Mumbai +18 other locations
AGIO Pharmaceuticals,3.6,Pharma,(252),,"Promotions, Work Life Balance, Work Satisfaction",Pune +10 other locations
Everllence,3.6,Industrial Machinery,(252),"Work Life Balance, Job Security","Promotions, Salary, Skill Development",Chhatrapati Sambhajinagar +10 other locations
Chandigarh Group of Colleges,3.8,Education & Training,(252),,"Promotions, Work Satisfaction, Job Security",Chandigarh +21 other locations
Mahindra Defence Systems,3.9,Defence & Aerospace,(252),Work Life Balance,Promotions,Pune +25 other locations
NextGen Healthcare,3.7,Software Product,(252),Work Life Balance,"Promotions, Job Security, Skill Development",Bengaluru +11 other locations
GS Engineering & Construction,3.6,Engineering & Construction,(252),Salary,"Job Security, Work Satisfaction, Promotions",Mumbai +20 other locations
Gen,3.6,Software Product,(252),"Salary, Company Culture","Job Security, Promotions, Work Satisfaction",Pune +9 other locations
Antara Senior Care,3.1,,(252),,"Promotions, Work Satisfaction, Skill Development",Gurugram +13 other locations
Matter Motor Works,2.9,Automobile,(252),,"Job Security, Promotions, Company Culture",Ahmedabad +6 other locations
Invertis University,4.7,Education & Training,(251),"Work Life Balance, Work Satisfaction, Job Security",,Bareilly +4 other locations
Simpson,3.4,Auto Components,(251),,"Promotions, Salary, Company Culture",Chennai +9 other locations
Moveinsync Technology Solutions,3.1,Software Product,(251),,"Promotions, Company Culture, Work Life Balance",Bengaluru +12 other locations
Sraco,3.7,Engineering & Construction,(251),,"Promotions, Company Culture",Dammam +24 other locations
ProcMart,3.7,IT Services & Consulting,(252),,Promotions,Pune +22 other locations
Credera,3.1,IT Services & Consulting,(251),,"Job Security, Promotions, Company Culture",Hyderabad +10 other locations
UPS Supply Chain Solutions,3.8,Logistics,(251),Salary,"Promotions, Skill Development, Work Satisfaction",Pune +15 other locations
Trantor,3.7,IT Services & Consulting,(251),Work Life Balance,"Promotions, Job Security, Skill Development",Chandigarh +9 other locations
UPS Supply Chain Solutions,3.8,Logistics,(251),Salary,"Promotions, Skill Development, Work Satisfaction",Pune +15 other locations
Credera,3.1,IT Services & Consulting,(251),,"Job Security, Promotions, Company Culture",Hyderabad +10 other locations
Sika,3.9,Chemicals,(251),"Work Life Balance, Salary",Promotions,Mumbai +36 other locations
InvestoXpert,4.3,Internet,(251),"Company Culture, Skill Development, Salary",,Noida +12 other locations
Jakson Green,4.3,,(251),"Job Security, Salary, Company Culture",,Noida +39 other locations
Naga Limited,3.6,Food Processing,(251),,"Promotions, Salary, Company Culture",Dindigul +22 other locations
Pacific Cyber Technology,3.7,Electronics Manufacturing,(251),Skill Development,"Promotions, Job Security, Salary",Daman & Diu +10 other locations
Bizcrum Infotech,3.5,Internet,(251),,"Job Security, Promotions, Work Satisfaction",New Delhi +61 other locations
Promea Therapeutics,4.1,Medical Equipment,(251),"Skill Development, Company Culture, Work Life Balance",,Hyderabad +8 other locations
Apollo Pipes,3.9,Building Material,(251),"Salary, Work Life Balance",,Noida +35 other locations
WizKlub,2.9,EdTech,(251),,"Promotions, Job Security, Company Culture",Bengaluru +16 other locations
Diamond Beverages,3.1,Beverage,(251),,"Promotions, Company Culture, Salary",Kolkata +5 other locations
Intersoft Data Labs,3.6,IT Services & Consulting,(250),Work Life Balance,"Job Security, Promotions, Skill Development",Gurugram +8 other locations
RGBSI,3.3,Software Product,(250),,"Promotions, Skill Development, Company Culture",Bengaluru +10 other locations
Adfactors PR,3.3,Marketing & Advertising,(250),Job Security,"Promotions, Company Culture, Work Life Balance",Mumbai +12 other locations
Barista Coffee Company,4.3,Hospitality,(250),"Work Life Balance, Company Culture, Work Satisfaction",,New Delhi +35 other locations
Xtancia Technosoft,4.0,Software Product,(250),"Company Culture, Work Satisfaction, Skill Development",,Chennai +2 other locations
House of Hiranandani,4.6,Real Estate,(250),"Company Culture, Work Life Balance, Job Security",,Mumbai +11 other locations
Hindustan Pencils,4.1,FMCG,(250),"Work Life Balance, Job Security, Company Culture",Promotions,Mumbai +62 other locations
Huntsman International,4.1,Chemicals,(250),"Work Life Balance, Company Culture, Salary",Promotions,Mumbai +25 other locations
HAL Offshore,4.2,Oil & Gas,(250),"Work Life Balance, Job Security, Work Satisfaction",,Mumbai +31 other locations
Xtancia Technosoft,4.0,Software Product,(250),"Company Culture, Work Satisfaction, Skill Development",,Chennai +2 other locations
House of Hiranandani,4.6,Real Estate,(250),"Company Culture, Work Life Balance, Job Security",,Mumbai +11 other locations
Terrier Security Services,4.2,Law Enforcement & Security,(250),"Work Life Balance, Work Satisfaction, Salary",,Bengaluru +41 other locations
Stanley Lifestyles,3.9,Furniture & Furnishing,(250),"Work Satisfaction, Job Security",,Bengaluru +10 other locations
IIT Madras,3.8,Education & Training,(250),"Skill Development, Company Culture, Work Life Balance","Promotions, Job Security",Chennai +9 other locations
SA Infrastructure Consultants,3.6,Engineering & Construction,(250),,"Promotions, Salary, Company Culture",Noida +61 other locations
Sai Service,3.8,Automobile,(250),Job Security,"Promotions, Salary",Mumbai +30 other locations
Easyday Club,4.6,Retail,(249),"Skill Development, Work Life Balance, Work Satisfaction",,New Delhi +74 other locations
Capillary Technologies,3.3,Software Product,(249),,"Promotions, Work Satisfaction, Salary",Bengaluru +7 other locations
Essar Power,4.0,Power,(249),"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Jamnagar +18 other locations
Edward Food Research and Analysis Centre,3.8,Analytics & KPO,(249),Skill Development,"Job Security, Promotions",Kolkata +4 other locations
VSynergize Outsourcing,3.0,Marketing & Advertising,(249),,"Job Security, Promotions, Company Culture",Pune +1 other locations
Ricoh,4.1,IT Services & Consulting,(249),"Work Life Balance, Work Satisfaction, Skill Development",,New Delhi +44 other locations
Suminter India Organics,3.8,FMCG,(249),"Company Culture, Work Life Balance","Promotions, Salary",Mumbai +25 other locations
Botree Software International,3.4,Software Product,(249),,"Promotions, Salary, Company Culture",Chennai +15 other locations
Tatvasoft,3.3,IT Services & Consulting,(249),,"Promotions, Skill Development, Salary",Ahmedabad +6 other locations
YES SECURITIES,3.5,Investment Banking / Venture Capital / Private Equity,(249),,"Promotions, Work Satisfaction, Company Culture",Mumbai +43 other locations
Virohan,3.9,Education & Training,(249),"Company Culture, Work Life Balance, Skill Development",,Gurugram +17 other locations
Ventra Health,3.2,Analytics & KPO,(249),,"Promotions, Work Satisfaction, Job Security",Chennai +6 other locations
Interarch Building Product,4.0,Engineering & Construction,(249),"Job Security, Work Life Balance, Company Culture",Promotions,Noida +31 other locations
Keller Ground Engineering,4.0,Engineering & Construction,(249),"Salary, Company Culture, Skill Development",,Chennai +29 other locations
Lenexis Foodworks,3.6,Hospitality,(249),,"Company Culture, Work Life Balance, Work Satisfaction",Mumbai +33 other locations
Raj Petro Specialities,3.8,Oil & Gas,(249),"Work Life Balance, Company Culture, Job Security","Promotions, Salary",Chennai +26 other locations
Botree Software International,3.4,Software Product,(249),,"Promotions, Salary, Company Culture",Chennai +15 other locations
Skylark Infra Engineering Private Limited,3.8,Engineering & Construction,(249),,Promotions,Gurugram +43 other locations
YES SECURITIES,3.5,Investment Banking / Venture Capital / Private Equity,(249),,"Promotions, Work Satisfaction, Company Culture",Mumbai +43 other locations
Virohan,3.9,Education & Training,(249),"Company Culture, Work Life Balance, Skill Development",,Gurugram +17 other locations
Vision Express,4.0,Retail,(249),"Job Security, Skill Development, Salary",Promotions,Bengaluru +37 other locations
L&T Water & Effluent Treatment,4.0,Engineering & Construction,(248),"Job Security, Skill Development, Salary",,Chennai +58 other locations
Xylem Learning,4.2,EdTech,(248),"Company Culture, Work Life Balance, Work Satisfaction",,Kozhikode +12 other locations
Sami-Sabinsa Group,3.5,Pharma,(248),,"Company Culture, Promotions, Skill Development",Bengaluru +8 other locations
Jindal India Thermal Power,3.8,Power,(248),"Work Life Balance, Salary","Promotions, Skill Development, Company Culture",Angul +17 other locations
C. L. GUPTA EXPORTS,4.2,Import & Export,(248),"Company Culture, Work Life Balance, Work Satisfaction",,Moradabad +8 other locations
The Smart Cube,3.4,Management Consulting,(248),,"Promotions, Salary, Work Satisfaction",Noida +7 other locations
Dev Information Technology,3.4,IT Services & Consulting,(248),,"Promotions, Company Culture, Skill Development",Ahmedabad +33 other locations
Cross Country Infotech,4.0,IT Services & Consulting,(248),"Work Life Balance, Company Culture, Work Satisfaction",,Pune
Star Engineers India,3.6,Auto Components,(248),,"Promotions, Company Culture, Work Satisfaction",Pune +17 other locations
Starmark Software,3.4,IT Services & Consulting,(248),,"Promotions, Company Culture, Work Satisfaction",Bengaluru +4 other locations
Xylem Learning,4.2,EdTech,(248),"Company Culture, Work Life Balance, Work Satisfaction",,Kozhikode +12 other locations
IIFL Securities,3.9,Financial Services,(248),Work Life Balance,Promotions,Mumbai +41 other locations
Sami-Sabinsa Group,3.5,Pharma,(248),,"Company Culture, Promotions, Skill Development",Bengaluru +8 other locations
Jindal India Thermal Power,3.8,Power,(248),"Work Life Balance, Salary","Promotions, Skill Development, Company Culture",Angul +17 other locations
Star Engineers India,3.6,Auto Components,(248),,"Promotions, Company Culture, Work Satisfaction",Pune +17 other locations
Dev Information Technology,3.4,IT Services & Consulting,(248),,"Promotions, Company Culture, Skill Development",Ahmedabad +33 other locations
Simar Infrastructures,3.7,Engineering & Construction,(248),,"Promotions, Company Culture, Salary",Panipat +48 other locations
Puranik Builders,4.1,Real Estate,(248),"Work Life Balance, Job Security, Company Culture",,Mumbai +8 other locations
Pinnacle Industries,3.4,Auto Components,(248),,"Job Security, Promotions, Work Satisfaction",Indore +11 other locations
SR Fast Connect Staffing,4.5,,(249),"Company Culture, Skill Development, Work Life Balance",,Noida +5 other locations
DM Consultants,1.4,,(247),,"Promotions, Salary, Company Culture",Abu Dhabi +16 other locations
FoodPanda,3.9,Internet,(247),"Work Life Balance, Company Culture, Salary",Promotions,Gurugram +20 other locations
Securens System,3.9,Law Enforcement & Security,(247),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Mumbai +36 other locations
RineX,4.0,,(247),"Company Culture, Work Life Balance, Work Satisfaction",,Bengaluru +16 other locations
Entero Healthcare Solutions,4.1,Pharma,(247),"Company Culture, Salary, Work Life Balance",,Mumbai +28 other locations
CTM India Limited,3.5,Industrial Machinery,(247),Skill Development,"Promotions, Company Culture, Salary",Chennai +19 other locations
e-Procurement Technologies,3.3,IT Services & Consulting,(247),,"Salary, Promotions, Company Culture",Ahmedabad +18 other locations
Onkar Infotech,4.0,BPO,(247),"Job Security, Work Life Balance, Work Satisfaction","Promotions, Skill Development",Gurugram +3 other locations
Franco-Indian Pharmaceuticals,3.2,Pharma,(247),,"Promotions, Skill Development, Salary",Mumbai +46 other locations
Safran Engineering Services India,3.1,Aviation,(247),,"Promotions, Salary, Company Culture",Bengaluru +7 other locations
e-Procurement Technologies,3.3,IT Services & Consulting,(247),,"Salary, Promotions, Company Culture",Ahmedabad +18 other locations
Net Access India,3.8,IT Services & Consulting,(247),"Job Security, Skill Development",Promotions,Chennai +31 other locations
Safran Engineering Services India,3.1,Aviation,(247),,"Promotions, Salary, Company Culture",Bengaluru +7 other locations
Organic India,4.3,FMCG,(247),"Work Life Balance, Company Culture, Work Satisfaction",,Lucknow +50 other locations
Mfar Constructions,3.8,Engineering & Construction,(247),"Skill Development, Job Security",Promotions,Bengaluru +13 other locations
RineX,4.0,,(247),"Company Culture, Work Life Balance, Work Satisfaction",,Bengaluru +16 other locations
Formidium Corp,2.8,Financial Services,(247),,"Job Security, Work Satisfaction, Company Culture",Jaipur +7 other locations
Experion Developers,4.7,Real Estate,(247),"Company Culture, Work Life Balance, Job Security",,Gurugram +10 other locations
Kaveri Seed Company,4.0,Agriculture,(247),"Job Security, Work Life Balance, Work Satisfaction","Promotions, Salary",Hyderabad +62 other locations
Dalmia Bharat Sugar & Industries,4.1,Food Processing,(247),"Job Security, Salary, Company Culture",,Kolhapur +19 other locations
Tokai Rubber Auto Parts India,3.4,Industrial Machinery,(246),,"Promotions, Company Culture, Job Security",Neemrana +12 other locations
Codeyoung,3.9,,(246),"Company Culture, Salary",,Bengaluru +7 other locations
Sedin Technologies,4.5,IT Services & Consulting,(246),"Company Culture, Work Life Balance, Work Satisfaction",,Chennai +5 other locations
National Securities Depository,3.5,Financial Services,(246),Job Security,"Promotions, Work Satisfaction, Salary",Mumbai +10 other locations
Lentra AI,2.7,Financial Services,(246),,"Promotions, Work Life Balance, Job Security",Pune +6 other locations
Ecolab,3.4,Waste Management,(246),,"Promotions, Work Satisfaction, Job Security",Pune +14 other locations
Billabong High International School,3.7,Education & Training,(246),Skill Development,"Promotions, Salary, Company Culture",Mumbai +20 other locations
National Contracting Company,4.0,Engineering & Construction,(246),Work Life Balance,Promotions,Chennai +19 other locations
Microchip Technology,3.7,Semiconductors,(246),"Work Life Balance, Company Culture","Promotions, Salary, Skill Development",Bengaluru +6 other locations
Cryoviva Biotech,3.3,Biotechnology,(246),,"Promotions, Company Culture, Work Satisfaction",Gurugram +46 other locations
Netenrich Technologies,3.2,Software Product,(246),,"Promotions, Work Satisfaction, Job Security",Hyderabad +7 other locations
Coolberg Beverages,3.2,Hospitality,(246),,"Job Security, Work Satisfaction, Promotions",Mumbai +40 other locations
Reliance Smart Bazaar,4.0,Retail,(246),"Skill Development, Company Culture, Work Life Balance",Promotions,New Delhi +110 other locations
DAZN,2.7,Media & Entertainment,(246),,"Promotions, Company Culture, Work Life Balance",Hyderabad +6 other locations
Health & Glow,3.7,Beauty & Personal Care,(246),,"Promotions, Salary",Bengaluru +15 other locations
Genzeon (India) Private Limited,3.9,IT Services & Consulting,(246),"Company Culture, Work Life Balance, Skill Development",,Hyderabad +3 other locations
Kuwait Oil Company,4.3,Oil & Gas,(245),"Salary, Work Satisfaction, Company Culture",,Chennai +18 other locations
NKC Projects,4.0,Engineering & Construction,(245),"Work Satisfaction, Work Life Balance, Skill Development",Promotions,Gurugram +28 other locations
VERITY GLOBAL SOLUTIONS,3.5,Investment Banking / Venture Capital / Private Equity,(245),,"Job Security, Promotions, Skill Development",Bengaluru +11 other locations
Maruti Ispat And Pipes,3.6,Iron & Steel,(245),Salary,"Job Security, Promotions, Company Culture",Hyderabad +12 other locations
Q Way Technologies,2.9,Healthcare,(245),,"Job Security, Promotions, Company Culture",Chennai +4 other locations
Klaus IT Solutions,3.3,IT Services & Consulting,(245),,"Job Security, Promotions, Work Satisfaction",Bengaluru +6 other locations
Chennai Petroleum Corporation,4.6,Oil & Gas,(245),"Work Satisfaction, Job Security, Skill Development",,Chennai +13 other locations
BoAt,4.3,Consumer Electronics & Appliances,(245),"Work Life Balance, Company Culture, Job Security",,Mumbai +16 other locations
Bekaert Industries,3.9,Electrical Equipment,(245),"Work Life Balance, Company Culture, Salary","Job Security, Promotions",Pune +8 other locations
Allianz,4.4,Insurance,(245),"Job Security, Company Culture, Work Life Balance",,Thiruvananthapuram +15 other locations
Upwork,4.3,Internet,(245),"Work Life Balance, Skill Development, Company Culture",,Bengaluru +31 other locations
VISA Steel,3.1,Iron & Steel,(246),,"Salary, Promotions, Company Culture",Jajpur +16 other locations
Godrej Capital,3.5,Financial Services,(245),Salary,"Promotions, Work Satisfaction, Work Life Balance",Mumbai +36 other locations
La Renon Healthcare,4.2,Pharma,(245),"Salary, Work Life Balance, Job Security",,Ahmedabad +49 other locations
Zifo RnD Solutions,3.7,IT Services & Consulting,(246),"Job Security, Company Culture",Promotions,Chennai +3 other locations
CP Plus,3.9,Law Enforcement & Security,(247),Work Life Balance,Promotions,Y.S.R. Kadapa +31 other locations
Tirupati Group,4.1,Pharma,(245),"Company Culture, Work Life Balance, Job Security",,Paonta Sahib +22 other locations
Bhavani Industries,3.6,,(245),,"Promotions, Work Satisfaction, Job Security",Rajkot +17 other locations
Indutch Composites Technology,3.7,Industrial Machinery,(245),,"Company Culture, Promotions, Work Life Balance",Chennai +11 other locations
Radnik Exports,4.1,Fashion & Textile,(244),"Work Life Balance, Salary, Work Satisfaction",Promotions,Noida +7 other locations
Global Edge Software,3.4,Software Product,(244),,"Salary, Promotions, Company Culture",Bengaluru +9 other locations
Toshiba,4.1,Industrial Machinery,(244),"Work Life Balance, Company Culture, Job Security",,Bengaluru +31 other locations
Webtel Electrosoft,3.7,IT Services & Consulting,(244),Job Security,"Promotions, Salary, Work Satisfaction",New Delhi +13 other locations
Dish Infra Services,3.1,Telecom,(244),,"Job Security, Promotions, Skill Development",New Delhi +85 other locations
Bravura Solutions,3.8,Software Product,(244),"Work Life Balance, Company Culture","Skill Development, Promotions, Job Security",Gurugram +3 other locations
Envestnet Asset Management,4.0,Financial Services,(244),"Work Life Balance, Company Culture, Job Security","Skill Development, Salary",Thiruvananthapuram +7 other locations
Annova Solutions,3.6,Pharma,(244),Work Life Balance,"Promotions, Salary",Indore +11 other locations
AONE OUTSOURCING SOLUTIONS,4.6,Financial Services,(244),"Company Culture, Work Life Balance, Work Satisfaction",,Ghaziabad +7 other locations
Ajay Industrial Corporation,3.4,Industrial Machinery,(244),,"Promotions, Company Culture, Job Security",New Delhi +40 other locations
Programmers.io,3.9,IT Services & Consulting,(244),"Work Life Balance, Salary, Company Culture",,Jaipur +3 other locations
Covalent Laboratories,3.4,Pharma,(244),,"Promotions, Company Culture, Work Satisfaction",Hyderabad +7 other locations
Collman Services,3.7,BPO,(244),Salary,"Promotions, Job Security, Work Satisfaction",Chennai +28 other locations
Miraj Cinemas,3.7,Media & Entertainment,(244),,"Promotions, Job Security, Salary",Mumbai +54 other locations
Identifyplus Delivery Services,3.1,Logistics,(245),,"Job Security, Company Culture, Promotions",Gurugram +90 other locations
Galpha Laboratories,3.7,Pharma,(244),,"Promotions, Skill Development, Company Culture",Baddi +28 other locations
Pittie Group,2.9,Real Estate,(243),,"Job Security, Promotions, Company Culture",Mumbai +34 other locations
Sales India,4.1,Retail,(243),"Company Culture, Salary, Work Life Balance",,Ahmedabad +77 other locations
ICICI Merchant Service,3.5,Banking,(243),,"Promotions, Job Security, Company Culture",Mumbai +55 other locations
iVenus,4.1,Retail,(243),"Work Life Balance, Skill Development, Company Culture",,Surat +25 other locations
ITI Finance,4.1,Financial Services,(244),"Work Life Balance, Company Culture, Work Satisfaction",,Mumbai +102 other locations
Arkade Group,3.9,Real Estate,(243),"Work Life Balance, Job Security, Company Culture",,Mumbai +5 other locations
SRM Technologies Pvt.Ltd,3.3,IT Services & Consulting,(243),,"Promotions, Company Culture, Work Satisfaction",Chennai +11 other locations
Q3 Technologies,3.4,IT Services & Consulting,(243),,"Promotions, Company Culture, Work Satisfaction",Gurugram +10 other locations
Corecard Software,3.8,FinTech,(243),Salary,"Skill Development, Job Security",Bhopal +8 other locations
Optiemus Electronics,3.6,Electronics Manufacturing,(243),,"Job Security, Promotions, Company Culture",Noida +8 other locations
Vasta Global,3.8,Clinical Research,(243),"Work Life Balance, Job Security","Promotions, Skill Development, Salary",Mumbai +8 other locations
Bread Financial,3.7,FinTech,(243),"Salary, Work Life Balance","Promotions, Skill Development",Bengaluru +6 other locations
SevenMentor,4.3,Education & Training,(243),"Skill Development, Company Culture, Work Life Balance",,Pune +3 other locations
Weikfield Foods,3.4,Food Processing,(243),,"Promotions, Job Security, Skill Development",Pune +48 other locations
Grazitti Interactive,3.1,IT Services & Consulting,(243),,"Promotions, Skill Development, Company Culture",Chandigarh +7 other locations
Kamineni Hospitals,4.1,Healthcare,(243),"Work Life Balance, Skill Development, Company Culture",Promotions,Hyderabad +10 other locations
EVIO,3.8,Power,(243),Job Security,"Promotions, Work Life Balance",Mumbai +16 other locations
Akkodis,3.2,IT Services & Consulting,(243),,"Job Security, Promotions, Skill Development",Bengaluru +10 other locations
Casio India Company,3.2,Consumer Electronics & Appliances,(243),,"Promotions, Work Satisfaction, Company Culture",New Delhi +30 other locations
Housejoy,4.2,Facility Management Services,(242),"Work Life Balance, Company Culture, Work Satisfaction",,Bengaluru +16 other locations
Texas Review,3.9,Education & Training,(242),"Work Life Balance, Work Satisfaction, Skill Development",,Hyderabad +13 other locations
Bull Machines,3.8,Engineering & Construction,(242),Job Security,Work Life Balance,Coimbatore +33 other locations
Narmada Bio Chem,4.9,Agro Chemicals,(242),"Work Life Balance, Company Culture, Work Satisfaction",,Ahmedabad +14 other locations
Deen Dayal Upadhyaya Grameen Kaushalya Yojana,3.8,Government,(242),"Skill Development, Work Life Balance","Job Security, Promotions, Salary",Hyderabad +105 other locations
PIX Transmissions,3.7,Petrochemicals,(242),Salary,"Promotions, Job Security",Nagpur +12 other locations
Jitm Skills,3.1,Education & Training,(242),,"Promotions, Job Security, Company Culture",New Delhi +51 other locations
Zeelab Pharmacy,3.5,Pharma,(242),,"Promotions, Company Culture, Job Security",New Delhi +35 other locations
Ratna Sagar,3.7,Printing & Publishing,(242),,"Promotions, Skill Development",New Delhi +29 other locations
FEV,3.4,Auto Components,(242),,"Work Satisfaction, Promotions, Company Culture",Pune +7 other locations
Galva Decoparts,3.4,Chemicals,(242),,"Promotions, Job Security, Company Culture",Vapi +16 other locations
NIELIT,4.1,Education & Training,(242),"Work Life Balance, Work Satisfaction, Company Culture",Promotions,New Delhi +59 other locations
Spectrum Consultants,2.4,Recruitment,(242),,"Promotions, Skill Development, Company Culture",Pune +13 other locations
Neon Laboratories,4.0,Pharma,(242),"Job Security, Work Life Balance, Company Culture",Promotions,Mumbai +39 other locations
Eversana,3.2,Software Product,(242),,"Promotions, Company Culture, Work Satisfaction",Pune +11 other locations
Chai Point,3.7,Hospitality,(242),,"Job Security, Company Culture, Work Satisfaction",Bengaluru +16 other locations
Sterling and Wilson Renewable Energy,4.2,Power,(242),"Job Security, Company Culture, Work Life Balance",,New Delhi +35 other locations
Sanjeev Auto Parts Manufacturers,4.1,Auto Components,(241),"Skill Development, Company Culture, Work Satisfaction",,Chhatrapati Sambhajinagar +3 other locations
Caliber Technologies,3.1,IT Services & Consulting,(241),,"Promotions, Salary, Work Satisfaction",Hyderabad +13 other locations
Smc Insurance Brokers,3.4,Insurance,(241),,"Promotions, Work Satisfaction, Company Culture",New Delhi +32 other locations
SK E&C,4.4,Engineering & Construction,(241),"Skill Development, Work Satisfaction, Salary",,Mumbai +36 other locations
GlobusSoft,3.5,IT Services & Consulting,(241),,"Salary, Promotions, Company Culture",Bengaluru +6 other locations
Acorn Universal Consultancy LLP,4.2,BPO,(241),"Company Culture, Work Satisfaction, Job Security",,Anand +2 other locations
Income Tax Department India,4.3,Government,(241),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,New Delhi +81 other locations
Allen Solly,3.9,Fashion & Textile,(241),,Promotions,Bengaluru +70 other locations
Avontix,3.4,IT Services & Consulting,(241),,"Promotions, Salary, Company Culture",Hyderabad +3 other locations
Regalo Kitchens,3.5,Architecture & Interior Design,(241),Salary,"Job Security, Work Life Balance, Promotions",New Delhi +11 other locations
Placementindia.com,4.9,Recruitment,(241),"Company Culture, Work Life Balance, Work Satisfaction",,New Delhi +2 other locations
Kanpur Plastipack,3.6,Packaging,(241),,"Promotions, Company Culture, Work Satisfaction",Kanpur +6 other locations
Alp Consulting,3.8,Recruitment,(241),,Promotions,Bengaluru +20 other locations
BillDesk,3.1,FinTech,(241),Job Security,"Promotions, Skill Development, Company Culture",Mumbai +15 other locations
Sterling Hospitals,4.0,Healthcare,(241),"Job Security, Company Culture, Work Life Balance",Promotions,Ahmedabad +15 other locations
Nova IVI Fertility,3.9,Healthcare,(241),"Work Life Balance, Skill Development",Promotions,Bengaluru +48 other locations
United Alliance Technology,4.9,IT Services & Consulting,(241),"Company Culture, Work Life Balance, Work Satisfaction",,Pune +6 other locations
Prabhat Dairy,3.7,FMCG,(241),,"Promotions, Job Security, Work Satisfaction",Mumbai +25 other locations
Vakilsearch,3.1,Legal,(241),,"Promotions, Company Culture, Work Life Balance",Chennai +12 other locations
PEARCE SERVICES,3.3,Telecom,(242),,"Promotions, Company Culture, Job Security",Sahibzada Ajit Singh Nagar +13 other locations
The BIM Engineers,4.2,Engineering & Construction,(242),"Work Life Balance, Job Security, Company Culture",,Gurugram +12 other locations
